,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
0,California,01/01/2020,2020,January,18637400,840000,0.043
1,California,01/01/2020,2020,January,18756400,753300,0.039
2,Alameda County,01/01/2020,2020,January,815500,25700,0.031
3,Alpine County,01/01/2020,2020,January,620,30,0.046
4,Amador County,01/01/2020,2020,January,14160,700,0.047
5,Butte County,01/01/2020,2020,January,92400,5400,0.055999999999999994
6,Calaveras County,01/01/2020,2020,January,20630,930,0.043
7,Colusa County,01/01/2020,2020,January,8790,2090,0.192
8,Contra Costa County,01/01/2020,2020,January,541600,18000,0.032
9,Del Norte County,01/01/2020,2020,January,9010,630,0.065
10,El Dorado County,01/01/2020,2020,January,88800,3500,0.037000000000000005
11,Fresno County,01/01/2020,2020,January,415800,36600,0.081
12,Glenn County,01/01/2020,2020,January,12260,970,0.073
13,Humboldt County,01/01/2020,2020,January,59300,2500,0.040999999999999995
14,Imperial County,01/01/2020,2020,January,59400,13000,0.18
15,Inyo County,01/01/2020,2020,January,8360,340,0.039
16,Kern County,01/01/2020,2020,January,362200,33900,0.086
17,Kings County,01/01/2020,2020,January,52700,5500,0.094
18,Lake County,01/01/2020,2020,January,27370,1750,0.06
19,Lassen County,01/01/2020,2020,January,9330,560,0.055999999999999994
20,Los Angeles County,01/01/2020,2020,January,4956900,232200,0.045
21,Los Angeles County,01/01/2020,2020,January,4945300,221300,0.043
22,Madera County,01/01/2020,2020,January,58200,5100,0.081
23,Marin County,01/01/2020,2020,January,136500,3400,0.024
24,Mariposa County,01/01/2020,2020,January,6600,440,0.063
25,Mendocino County,01/01/2020,2020,January,36470,1850,0.048
26,Merced County,01/01/2020,2020,January,103900,11300,0.098
27,Modoc County,01/01/2020,2020,January,2790,300,0.09699999999999999
28,Mono County,01/01/2020,2020,January,8800,320,0.035
29,Monterey County,01/01/2020,2020,January,193300,20800,0.09699999999999999
30,Napa County,01/01/2020,2020,January,70000,2500,0.035
31,Nevada County,01/01/2020,2020,January,47320,1800,0.037000000000000005
32,Orange County,01/01/2020,2020,January,1575500,46600,0.028999999999999998
33,Placer County,01/01/2020,2020,January,182200,6200,0.033
34,Plumas County,01/01/2020,2020,January,6710,790,0.105
35,Riverside County,01/01/2020,2020,January,1059300,46800,0.042
36,Sacramento County,01/01/2020,2020,January,686500,27700,0.039
37,San Benito County,01/01/2020,2020,January,29600,2000,0.062
38,San Bernardino County,01/01/2020,2020,January,932100,37900,0.039
39,San Diego County,01/01/2020,2020,January,1540000,52900,0.033
