,County,Product,Date,Amount Fulfilled
0,Alameda,Cloth Masks,August,32805900.0
1,Alameda,Coveralls (Hospitals or EMS),August,187096.0
2,Alameda,Examination Gloves,August,102643800.0
3,Alameda,Face Shields (Disposable),August,5439884.0
4,Alameda,Goggles,August,369600.0
5,Alameda,Hand Sanitizers,August,8545168.0
6,Alameda,KN95 Respirators,August,1353360.0
7,Alameda,Lab Supplies,August,1220800.0
8,Alameda,Medical Equipment,August,38805.0
9,Alameda,N-95 Respirators,August,44632560.0
10,Alameda,Other / None of the above,August,5199814.0
11,Alameda,Personnel,August,90.0
12,Alameda,Pharmaceuticals,August,52989.0
13,Alameda,Sample Collecting Kits,August,336000.0
14,Alameda,Shoe Covers,August,52000.0
15,Alameda,Surgical Masks,August,343109200.0
16,Alameda,Surgical or Examination Gowns,August,3106432.0
17,Alameda,Swabs,August,9819400.0
18,Alameda,Test Kits,August,700000.0
19,Alameda,Ventilators,August,280.0
20,Alameda,Viral Testing Media,August,6390461.0
21,Alameda,Wipes,August,2195560.0
22,Alameda,Cloth Masks,July,8400300.0
23,Alameda,Coveralls (Hospitals or EMS),July,181142.0
24,Alameda,Examination Gloves,July,75033880.0
25,Alameda,Face Shields (Disposable),July,4406192.0
26,Alameda,Goggles,July,403000.0
27,Alameda,Hand Sanitizers,July,7321028.0
28,Alameda,KN95 Respirators,July,1016300.0
29,Alameda,Lab Supplies,July,1351600.0
30,Alameda,Medical Equipment,July,6930.0
31,Alameda,N-95 Respirators,July,45497760.0
32,Alameda,Other / None of the above,July,4531543.0
33,Alameda,Pharmaceuticals,July,58652.0
34,Alameda,Sample Collecting Kits,July,192000.0
35,Alameda,Surgical Masks,July,253321000.0
36,Alameda,Surgical or Examination Gowns,July,2495554.0
37,Alameda,Swabs,July,7773800.0
38,Alameda,Test Kits,July,775000.0
39,Alameda,Ventilators,July,310.0
40,Alameda,Viral Testing Media,July,4291054.0
41,Alameda,Wipes,July,453000.0
42,Alameda,Cloth Masks,June,2872860.0
43,Alameda,Coveralls (Hospitals or EMS),June,102686.0
44,Alameda,Examination Gloves,June,15250760.0
45,Alameda,Face Shields (Disposable),June,2824316.0
46,Alameda,Goggles,June,299000.0
47,Alameda,Hand Sanitizers,June,3670166.0
48,Alameda,KN95 Respirators,June,565720.0
49,Alameda,Lab Supplies,June,1002800.0
50,Alameda,Medical Equipment,June,2640.0
51,Alameda,N-95 Respirators,June,28267140.0
52,Alameda,Other / None of the above,June,926222.0
53,Alameda,Pharmaceuticals,June,30351.0
54,Alameda,Surgical Masks,June,23863000.0
55,Alameda,Surgical or Examination Gowns,June,1459142.0
56,Alameda,Swabs,June,3796400.0
57,Alameda,Test Kits,June,115000.0
58,Alameda,Ventilators,June,230.0
59,Alameda,Viral Testing Media,June,1870278.0
60,Alameda,Wipes,June,24000.0
61,Alameda,Cloth Masks,October,24112800.0
62,Alameda,Coveralls (Hospitals or EMS),October,124512.0
63,Alameda,Examination Gloves,October,73615600.0
64,Alameda,Face Shields (Disposable),October,3506104.0
65,Alameda,Goggles,October,211200.0
66,Alameda,Hand Sanitizers,October,5594608.0
67,Alameda,KN95 Respirators,October,921920.0
68,Alameda,Lab Supplies,October,697600.0
69,Alameda,Medical Equipment,October,40048.0
70,Alameda,N-95 Respirators,October,31146560.0
71,Alameda,Other / None of the above,October,3024208.0
72,Alameda,Personnel,October,112.0
73,Alameda,Pharmaceuticals,October,30288.0
74,Alameda,Sample Collecting Kits,October,275200.0
75,Alameda,Shoe Covers,October,64000.0
76,Alameda,Surgical Masks,October,224196800.0
77,Alameda,Surgical or Examination Gowns,October,2735104.0
78,Alameda,Swabs,October,6716800.0
79,Alameda,Test Kits,October,524160.0
80,Alameda,Ventilators,October,160.0
81,Alameda,Viral Testing Media,October,4761824.0
82,Alameda,Wipes,October,7852800.0
83,Alameda,Cloth Masks,September,43823900.0
84,Alameda,Coveralls (Hospitals or EMS),September,207060.0
85,Alameda,Examination Gloves,September,131920000.0
86,Alameda,Face Shields (Disposable),September,6534076.0
87,Alameda,Goggles,September,396000.0
88,Alameda,Hand Sanitizers,September,10472672.0
89,Alameda,KN95 Respirators,September,1724600.0
90,Alameda,Lab Supplies,September,1308000.0
91,Alameda,Medical Equipment,September,74640.0
92,Alameda,N-95 Respirators,September,55931800.0
93,Alameda,Other / None of the above,September,5670390.0
94,Alameda,Personnel,September,210.0
95,Alameda,Pharmaceuticals,September,56790.0
96,Alameda,Sample Collecting Kits,September,495200.0
97,Alameda,Shoe Covers,September,120000.0
98,Alameda,Surgical Masks,September,417006000.0
99,Alameda,Surgical or Examination Gowns,September,4798320.0
100,Alameda,Swabs,September,12414000.0
101,Alameda,Test Kits,September,750000.0
102,Alameda,Ventilators,September,300.0
103,Alameda,Viral Testing Media,September,8748020.0
104,Alameda,Wipes,September,9414000.0
105,Alpine,Coveralls (Hospitals or EMS),August,2800.0
106,Alpine,Examination Gloves,August,157640.0
107,Alpine,Face Shields (Disposable),August,12600.0
108,Alpine,Hand Sanitizers,August,17976.0
109,Alpine,KN95 Respirators,August,35280.0
110,Alpine,N-95 Respirators,August,5600.0
111,Alpine,Other / None of the above,August,1008.0
112,Alpine,Sample Collecting Kits,August,2800.0
113,Alpine,Surgical Masks,August,154000.0
114,Alpine,Surgical or Examination Gowns,August,1400.0
115,Alpine,Test Kits,August,28000.0
116,Alpine,Viral Testing Media,August,22400.0
117,Alpine,Coveralls (Hospitals or EMS),July,1550.0
118,Alpine,Examination Gloves,July,142480.0
119,Alpine,Face Shields (Disposable),July,9300.0
120,Alpine,Hand Sanitizers,July,19902.0
121,Alpine,KN95 Respirators,July,39060.0
122,Alpine,N-95 Respirators,July,6200.0
123,Alpine,Other / None of the above,July,1116.0
124,Alpine,Sample Collecting Kits,July,3100.0
125,Alpine,Surgical Masks,July,120000.0
126,Alpine,Surgical or Examination Gowns,July,1550.0
127,Alpine,Test Kits,July,31000.0
128,Alpine,Viral Testing Media,July,24800.0
129,Alpine,Examination Gloves,June,11040.0
130,Alpine,Face Shields (Disposable),June,6100.0
131,Alpine,Hand Sanitizers,June,14718.0
132,Alpine,KN95 Respirators,June,28980.0
133,Alpine,N-95 Respirators,June,4600.0
134,Alpine,Other / None of the above,June,684.0
135,Alpine,Sample Collecting Kits,June,2300.0
136,Alpine,Surgical Masks,June,38000.0
137,Alpine,Surgical or Examination Gowns,June,1150.0
138,Alpine,Test Kits,June,23000.0
139,Alpine,Coveralls (Hospitals or EMS),October,1600.0
140,Alpine,Examination Gloves,October,94080.0
141,Alpine,Face Shields (Disposable),October,8000.0
142,Alpine,Hand Sanitizers,October,10272.0
143,Alpine,KN95 Respirators,October,20160.0
144,Alpine,N-95 Respirators,October,3200.0
145,Alpine,Other / None of the above,October,576.0
146,Alpine,Sample Collecting Kits,October,1600.0
147,Alpine,Surgical Masks,October,96000.0
148,Alpine,Surgical or Examination Gowns,October,800.0
149,Alpine,Test Kits,October,16000.0
150,Alpine,Viral Testing Media,October,12800.0
151,Alpine,Coveralls (Hospitals or EMS),September,3000.0
152,Alpine,Examination Gloves,September,176400.0
153,Alpine,Face Shields (Disposable),September,15000.0
154,Alpine,Hand Sanitizers,September,19260.0
155,Alpine,KN95 Respirators,September,37800.0
156,Alpine,N-95 Respirators,September,6000.0
157,Alpine,Other / None of the above,September,1080.0
158,Alpine,Sample Collecting Kits,September,3000.0
159,Alpine,Surgical Masks,September,180000.0
160,Alpine,Surgical or Examination Gowns,September,1500.0
161,Alpine,Test Kits,September,30000.0
162,Alpine,Viral Testing Media,September,24000.0
163,Amador,Cleaning Supplies,August,840.0
164,Amador,Cloth Masks,August,476000.0
165,Amador,Coveralls (Hospitals or EMS),August,28000.0
166,Amador,Examination Gloves,August,3472000.0
167,Amador,Face Shields (Disposable),August,413504.0
168,Amador,Goggles,August,280000.0
169,Amador,Hand Sanitizers,August,176064.0
170,Amador,KN95 Respirators,August,176400.0
171,Amador,N-95 Respirators,August,5402720.0
172,Amador,Other / None of the above,August,41328.0
173,Amador,Sample Collecting Kits,August,28000.0
174,Amador,Surgical Masks,August,3696000.0
175,Amador,Surgical or Examination Gowns,August,697200.0
176,Amador,Swabs,August,392028.0
177,Amador,Test Kits,August,56000.0
178,Amador,Viral Testing Media,August,134848.0
179,Amador,Cleaning Supplies,July,930.0
180,Amador,Cloth Masks,July,527000.0
181,Amador,Coveralls (Hospitals or EMS),July,31000.0
182,Amador,Examination Gloves,July,1639000.0
183,Amador,Face Shields (Disposable),July,443808.0
184,Amador,Goggles,July,300000.0
185,Amador,Hand Sanitizers,July,178732.0
186,Amador,KN95 Respirators,July,195300.0
187,Amador,N-95 Respirators,July,5209960.0
188,Amador,Other / None of the above,July,44756.0
189,Amador,Sample Collecting Kits,July,16000.0
190,Amador,Surgical Masks,July,3934000.0
191,Amador,Surgical or Examination Gowns,July,460450.0
192,Amador,Swabs,July,361031.0
193,Amador,Test Kits,July,49600.0
194,Amador,Viral Testing Media,July,94864.0
195,Amador,Cleaning Supplies,June,690.0
196,Amador,Cloth Masks,June,293000.0
197,Amador,Coveralls (Hospitals or EMS),June,23000.0
198,Amador,Examination Gloves,June,867000.0
199,Amador,Face Shields (Disposable),June,178664.0
200,Amador,Goggles,June,45000.0
201,Amador,Hand Sanitizers,June,116816.0
202,Amador,KN95 Respirators,June,144900.0
203,Amador,N-95 Respirators,June,901920.0
204,Amador,Other / None of the above,June,10184.0
205,Amador,Surgical Masks,June,2530000.0
206,Amador,Surgical or Examination Gowns,June,97550.0
207,Amador,Swabs,June,147023.0
208,Amador,Viral Testing Media,June,64400.0
209,Amador,Cleaning Supplies,October,480.0
210,Amador,Cloth Masks,October,272000.0
211,Amador,Coveralls (Hospitals or EMS),October,16000.0
212,Amador,Examination Gloves,October,2076000.0
213,Amador,Face Shields (Disposable),October,236288.0
214,Amador,Goggles,October,160000.0
