county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Alameda,April,2020-04-30,93.0,106.0,46.0,26.0,197.0
Alameda,August,2020-08-31,207.0,56.0,73.0,20.0,99.0
Alameda,July,2020-07-31,213.0,82.0,65.0,13.0,151.0
Alameda,June,2020-06-30,116.0,92.0,43.0,20.0,203.0
Alameda,March,2020-03-31,59.0,94.0,27.0,18.0,146.0
Alameda,May,2020-05-31,105.0,162.0,44.0,24.0,171.0
Alameda,October,2020-10-16,94.0,46.0,28.0,9.0,133.0
Alameda,September,2020-09-30,162.0,57.0,49.0,10.0,126.0
Amador,April,2020-04-30,0.0,3.0,0.0,1.0,6.0
Amador,August,2020-08-31,12.0,2.0,4.0,0.0,6.0
Amador,July,2020-07-31,5.0,1.0,2.0,1.0,3.0
Amador,June,2020-06-30,1.0,1.0,1.0,1.0,4.0
Amador,March,2020-03-31,1.0,1.0,0.0,0.0,4.0
Amador,May,2020-05-31,0.0,1.0,0.0,1.0,4.0
Amador,October,2020-10-16,1.0,1.0,0.0,0.0,6.0
Amador,September,2020-09-30,3.0,1.0,1.0,1.0,6.0
Butte,April,2020-04-30,5.0,33.0,2.0,7.0,22.0
Butte,August,2020-08-31,29.0,3.0,11.0,1.0,19.0
Butte,July,2020-07-31,31.0,3.0,11.0,2.0,11.0
Butte,June,2020-06-30,7.0,37.0,5.0,7.0,22.0
Butte,March,2020-03-31,4.0,20.0,2.0,3.0,5.0
Butte,May,2020-05-31,8.0,3.0,3.0,2.0,25.0
Butte,October,2020-10-16,12.0,0.0,5.0,0.0,18.0
Butte,September,2020-09-30,24.0,1.0,8.0,1.0,20.0
Calaveras,April,2020-04-30,0.0,2.0,0.0,2.0,12.0
Calaveras,August,2020-08-31,12.0,4.0,3.0,3.0,26.0
Calaveras,July,2020-07-31,3.0,5.0,2.0,3.0,12.0
Calaveras,June,2020-06-30,1.0,2.0,1.0,1.0,12.0
Calaveras,March,2020-03-31,0.0,3.0,0.0,1.0,5.0
Calaveras,May,2020-05-31,1.0,2.0,1.0,1.0,12.0
Calaveras,October,2020-10-16,0.0,1.0,0.0,0.0,8.0
Calaveras,September,2020-09-30,5.0,5.0,3.0,2.0,8.0
Colusa,April,2020-04-30,1.0,1.0,1.0,1.0,6.0
Colusa,August,2020-08-31,11.0,4.0,0.0,0.0,0.0
Colusa,July,2020-07-31,2.0,4.0,0.0,0.0,6.0
Colusa,June,2020-06-30,1.0,2.0,0.0,2.0,6.0
