Area_Name,Date,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Acton CDP,March,2020-03-01,2020,March,3400,200,0.049
Acton CDP,April,2020-04-01,2020,April,2700,500,0.159
Acton CDP,May,2020-05-01,2020,May,2700,500,0.163
Acton CDP,June,2020-06-01,2020,June,2800,500,0.153
Acton CDP,July,2020-07-01,2020,July,2900,500,0.14400000000000002
Acton CDP,August,2020-08-01,2020,August,3000,400,0.13
Acton CDP,September,2020-09-01,2020,September,3000,400,0.11599999999999999
Adelanto city,March,2020-03-01,2020,March,8800,900,0.091
Adelanto city,April,2020-04-01,2020,April,7800,1900,0.195
Adelanto city,May,2020-05-01,2020,May,7700,1900,0.19899999999999998
Adelanto city,June,2020-06-01,2020,June,8000,2100,0.207
Adelanto city,July,2020-07-01,2020,July,8100,2100,0.207
Adelanto city,August,2020-08-01,2020,August,8200,1700,0.171
Adelanto city,September,2020-09-01,2020,September,8200,1700,0.174
Agoura Hills city,March,2020-03-01,2020,March,10600,600,0.055999999999999994
Agoura Hills city,April,2020-04-01,2020,April,8600,1900,0.179
Agoura Hills city,May,2020-05-01,2020,May,8500,1800,0.17800000000000002
Agoura Hills city,June,2020-06-01,2020,June,9000,1800,0.166
Agoura Hills city,July,2020-07-01,2020,July,9200,1600,0.151
Agoura Hills city,August,2020-08-01,2020,August,9300,1400,0.134
Agoura Hills city,September,2020-09-01,2020,September,9500,1200,0.11199999999999999
Alameda County,March,2020-03-01,2020,March,802700,32700,0.039
Alameda County,April,2020-04-01,2020,April,691200,112900,0.14
Alameda County,May,2020-05-01,2020,May,693400,110100,0.13699999999999998
Alameda County,June,2020-06-01,2020,June,713000,111100,0.135
Alameda County,July,2020-07-01,2020,July,719100,100000,0.122
Alameda County,August,2020-08-01,2020,August,726800,76000,0.095
Alameda County,September,2020-09-01,2020,September,731400,74900,0.09300000000000001
Alameda city,March,2020-03-01,2020,March,39400,1500,0.036000000000000004
Alameda city,April,2020-04-01,2020,April,34000,5400,0.13699999999999998
Alameda city,May,2020-05-01,2020,May,34100,5400,0.13699999999999998
Alameda city,June,2020-06-01,2020,June,35000,5500,0.135
Alameda city,July,2020-07-01,2020,July,35300,4900,0.121
Alameda city,August,2020-08-01,2020,August,35700,3700,0.094
Alameda city,September,2020-09-01,2020,September,35900,3500,0.09
Alamo CDP,March,2020-03-01,2020,March,6300,200,0.024
Alamo CDP,April,2020-04-01,2020,April,5500,500,0.08800000000000001
Alamo CDP,May,2020-05-01,2020,May,5500,500,0.084
Alamo CDP,June,2020-06-01,2020,June,5600,500,0.081
Alamo CDP,July,2020-07-01,2020,July,5700,500,0.073
Alamo CDP,August,2020-08-01,2020,August,5800,300,0.055999999999999994
Alamo CDP,September,2020-09-01,2020,September,5800,300,0.055
Albany city,March,2020-03-01,2020,March,9400,300,0.033
Albany city,April,2020-04-01,2020,April,8100,1100,0.12
Albany city,May,2020-05-01,2020,May,8100,1100,0.11699999999999999
Albany city,June,2020-06-01,2020,June,8400,1100,0.11599999999999999
Albany city,July,2020-07-01,2020,July,8400,1000,0.10400000000000001
Albany city,August,2020-08-01,2020,August,8500,700,0.081
Albany city,September,2020-09-01,2020,September,8600,700,0.079
Alhambra city,March,2020-03-01,2020,March,42800,2600,0.057
Alhambra city,April,2020-04-01,2020,April,34700,10000,0.223
Alhambra city,May,2020-05-01,2020,May,34200,10500,0.23399999999999999
Alhambra city,June,2020-06-01,2020,June,36300,10000,0.217
Alhambra city,July,2020-07-01,2020,July,37000,9200,0.2
Alhambra city,August,2020-08-01,2020,August,37600,8200,0.17800000000000002
Alhambra city,September,2020-09-01,2020,September,38400,7400,0.162
Aliso Viejo city,March,2020-03-01,2020,March,28900,1000,0.034
Aliso Viejo city,April,2020-04-01,2020,April,25100,3600,0.127
Aliso Viejo city,May,2020-05-01,2020,May,24900,3700,0.13
Aliso Viejo city,June,2020-06-01,2020,June,26000,3400,0.11599999999999999
Aliso Viejo city,July,2020-07-01,2020,July,26300,3000,0.102
Aliso Viejo city,August,2020-08-01,2020,August,26500,2200,0.075
Aliso Viejo city,September,2020-09-01,2020,September,27000,2100,0.071
Alondra Park CDP,March,2020-03-01,2020,March,3700,400,0.091
Alondra Park CDP,April,2020-04-01,2020,April,3000,1100,0.267
Alondra Park CDP,May,2020-05-01,2020,May,2900,1100,0.272
Alondra Park CDP,June,2020-06-01,2020,June,3100,1100,0.258
Alondra Park CDP,July,2020-07-01,2020,July,3200,1000,0.244
Alondra Park CDP,August,2020-08-01,2020,August,3200,900,0.223
Alondra Park CDP,September,2020-09-01,2020,September,3300,800,0.20199999999999999
Alpaugh CDP,March,2020-03-01,2020,March,300,100,0.305
Alpaugh CDP,April,2020-04-01,2020,April,300,200,0.37799999999999995
Alpaugh CDP,May,2020-05-01,2020,May,300,200,0.36
Alpaugh CDP,June,2020-06-01,2020,June,300,100,0.344
Alpaugh CDP,July,2020-07-01,2020,July,300,100,0.32899999999999996
Alpaugh CDP,August,2020-08-01,2020,August,300,100,0.261
Alpaugh CDP,September,2020-09-01,2020,September,300,100,0.261
Alpine County,March,2020-03-01,2020,March,490,40,0.07400000000000001
Alpine County,April,2020-04-01,2020,April,390,110,0.21600000000000003
Alpine County,May,2020-05-01,2020,May,380,110,0.22
Alpine County,June,2020-06-01,2020,June,400,90,0.18899999999999997
Alpine County,July,2020-07-01,2020,July,400,70,0.14400000000000002
Alpine County,August,2020-08-01,2020,August,410,50,0.10400000000000001
Alpine County,September,2020-09-01,2020,September,410,50,0.107
Alpine Village CDP,March,2020-03-01,2020,March,80,0,0.0
Alpine Village CDP,April,2020-04-01,2020,April,60,0,0.0
Alpine Village CDP,May,2020-05-01,2020,May,60,0,0.0
Alpine Village CDP,June,2020-06-01,2020,June,70,0,0.0
Alpine Village CDP,July,2020-07-01,2020,July,70,0,0.0
Alpine Village CDP,August,2020-08-01,2020,August,70,0,0.0
Alpine Village CDP,September,2020-09-01,2020,September,70,0,0.0
Alta Sierra CDP,March,2020-03-01,2020,March,3480,90,0.024
Alta Sierra CDP,April,2020-04-01,2020,April,2800,250,0.08199999999999999
Alta Sierra CDP,May,2020-05-01,2020,May,2610,220,0.078
Alta Sierra CDP,June,2020-06-01,2020,June,2750,210,0.07
Alta Sierra CDP,July,2020-07-01,2020,July,3010,180,0.057
Alta Sierra CDP,August,2020-08-01,2020,August,3220,140,0.04
Alta Sierra CDP,September,2020-09-01,2020,September,3260,130,0.038
Altadena CDP,March,2020-03-01,2020,March,22100,1100,0.049
Altadena CDP,April,2020-04-01,2020,April,17900,3400,0.158
Altadena CDP,May,2020-05-01,2020,May,17700,3400,0.162
Altadena CDP,June,2020-06-01,2020,June,18700,3400,0.152
Altadena CDP,July,2020-07-01,2020,July,19100,3200,0.14300000000000002
Altadena CDP,August,2020-08-01,2020,August,19400,2900,0.129
Altadena CDP,September,2020-09-01,2020,September,19800,2600,0.115
Alturas city,March,2020-03-01,2020,March,940,140,0.131
Alturas city,April,2020-04-01,2020,April,890,170,0.157
Alturas city,May,2020-05-01,2020,May,910,130,0.12300000000000001
Alturas city,June,2020-06-01,2020,June,940,120,0.11
Alturas city,July,2020-07-01,2020,July,930,100,0.098
Alturas city,August,2020-08-01,2020,August,970,80,0.07200000000000001
Alturas city,September,2020-09-01,2020,September,960,80,0.07400000000000001
Amador City city,March,2020-03-01,2020,March,70,10,0.067
Amador City city,April,2020-04-01,2020,April,60,10,0.171
Amador City city,May,2020-05-01,2020,May,60,10,0.18899999999999997
Amador City city,June,2020-06-01,2020,June,60,10,0.158
Amador City city,July,2020-07-01,2020,July,60,10,0.149
Amador City city,August,2020-08-01,2020,August,70,10,0.11
Amador City city,September,2020-09-01,2020,September,70,10,0.11
Amador County,March,2020-03-01,2020,March,13980,810,0.055
Amador County,April,2020-04-01,2020,April,12430,2090,0.14400000000000002
Amador County,May,2020-05-01,2020,May,11910,2160,0.153
Amador County,June,2020-06-01,2020,June,12620,1840,0.127
Amador County,July,2020-07-01,2020,July,12540,1700,0.11900000000000001
Amador County,August,2020-08-01,2020,August,12880,1260,0.08900000000000001
Amador County,September,2020-09-01,2020,September,12920,1230,0.087
American Canyon city,March,2020-03-01,2020,March,9700,500,0.054000000000000006
American Canyon city,April,2020-04-01,2020,April,8400,2100,0.20199999999999999
American Canyon city,May,2020-05-01,2020,May,8500,1900,0.184
American Canyon city,June,2020-06-01,2020,June,8900,1700,0.161
American Canyon city,July,2020-07-01,2020,July,9000,1400,0.136
American Canyon city,August,2020-08-01,2020,August,9100,1000,0.10300000000000001
American Canyon city,September,2020-09-01,2020,September,9100,1000,0.099
Anaheim city,March,2020-03-01,2020,March,161600,6700,0.04
Anaheim city,April,2020-04-01,2020,April,140300,25200,0.152
Anaheim city,May,2020-05-01,2020,May,139600,29100,0.172
Anaheim city,June,2020-06-01,2020,June,145600,28300,0.163
Anaheim city,July,2020-07-01,2020,July,147300,26200,0.151
Anaheim city,August,2020-08-01,2020,August,148300,19800,0.11800000000000001
Anaheim city,September,2020-09-01,2020,September,151100,19700,0.115
Anaheim-Santa Ana-Irvine MD,March,2020-03-01,2020,March,1528600,59000,0.037000000000000005
Anaheim-Santa Ana-Irvine MD,April,2020-04-01,2020,April,1327700,212600,0.138
Anaheim-Santa Ana-Irvine MD,May,2020-05-01,2020,May,1320500,227100,0.147
Anaheim-Santa Ana-Irvine MD,June,2020-06-01,2020,June,1377000,217600,0.136
Anaheim-Santa Ana-Irvine MD,July,2020-07-01,2020,July,1393700,196800,0.124
Anaheim-Santa Ana-Irvine MD,August,2020-08-01,2020,August,1402600,147100,0.095
Anaheim-Santa Ana-Irvine MD,September,2020-09-01,2020,September,1429300,142200,0.09
"Anaheim-Santa Ana-Irvine, CA Met Div",March,2020-03-01,2020,March,1530816,57501,0.036000000000000004
"Anaheim-Santa Ana-Irvine, CA Met Div",April,2020-04-01,2020,April,1332689,217237,0.14
"Anaheim-Santa Ana-Irvine, CA Met Div",May,2020-05-01,2020,May,1330845,232808,0.149
"Anaheim-Santa Ana-Irvine, CA Met Div",June,2020-06-01,2020,June,1390725,214210,0.133
"Anaheim-Santa Ana-Irvine, CA Met Div",July,2020-07-01,2020,July,1401103,189610,0.11900000000000001
"Anaheim-Santa Ana-Irvine, CA Met Div",August,2020-08-01,2020,August,1413550,148938,0.095
Anderson city,March,2020-03-01,2020,March,3900,300,0.063
Anderson city,April,2020-04-01,2020,April,3500,600,0.14300000000000002
