status,type_of_facility,county,beds_ready_to_accept_patients,patients_in_beds,beds_in_warm_status,date
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-04-23
WrapAround,Federal Medical Station,San Mateo,0.0,0,,2020-04-23
TBD,Alternative Care Facility,Tulare,0.0,0,,2020-04-23
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-04-23
Ready,Ship,Los Angeles,250.0,14,,2020-04-23
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-04-23
Ready,Federal Medical Station,Butte,107.0,0,,2020-04-23
Ready,Alternative Care Facility,San Mateo,100.0,0,,2020-04-23
TBD,Skilled Nursing Facility,Humboldt,0.0,0,,2020-04-23
TBD,Skilled Nursing Facility,Sacramento,0.0,0,,2020-04-23
WrapAround,Alternative Care Facility,San Francisco,0.0,0,,2020-04-23
Pending ,Hospital,San Diego,0.0,0,,2020-04-23
Ready,Hospital,Los Angeles,32.0,16,,2020-04-23
Ready,Federal Medical Station,Contra Costa,250.0,0,,2020-04-23
Ready,Federal Medical Station,Riverside,125.0,0,,2020-04-23
WrapAround,Alternative Care Facility,Tulare,33.0,0,,2020-04-23
TBD,Alternative Care Facility,Orange,0.0,0,,2020-04-23
Ready,Hospital,San Mateo,120.0,10,,2020-04-23
WrapAround,Federal Medical Station,Shasta,0.0,0,,2020-04-23
Ready,Federal Medical Station,Fresno,125.0,0,,2020-04-23
WrapAround,Federal Medical Station,Riverside,0.0,0,,2020-04-23
Ready,Arena,Sacramento,328.0,0,,2020-04-23
Ready,Federal Medical Station,Santa Clara,250.0,8,,2020-04-23
Ready,Alternative Care Facility,Orange,100.0,0,,2020-04-23
Ready,Alternative Care Facility,San Mateo,100.0,0,,2020-04-24
TBD,Skilled Nursing Facility,Humboldt,0.0,0,,2020-04-24
Ready,Skilled Nursing Facility,Riverside,99.0,0,,2020-04-24
WrapAround,Federal Medical Station,Riverside,0.0,0,,2020-04-24
WrapAround,Federal Medical Station,San Mateo,0.0,0,,2020-04-24
Ready,Ship,Los Angeles,250.0,8,,2020-04-24
Ready,Alternative Care Facility,Orange,25.0,0,,2020-04-24
Ready,Skilled Nursing Facility,Orange,75.0,0,,2020-04-24
WrapAround,Alternative Care Facility,Tulare,33.0,0,,2020-04-24
Ready,Skilled Nursing Facility,San Francisco,11.0,0,,2020-04-24
Ready,Federal Medical Station,Los Angeles,175.0,0,,2020-04-24
