county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Alameda,4/14/20,403,115,91,85,
Alpine,4/14/20,,,,,
Amador,4/14/20,,,,,
Butte,4/14/20,65,65,,,
Calaveras,4/14/20,,,,,
Colusa,4/14/20,,,,,
Contra Costa,4/14/20,340,,,,
Del Norte,4/14/20,,,,,
El Dorado,4/14/20,,,,,
Fresno,4/14/20,305,250,28,,
Glenn,4/14/20,,,,,
Humboldt,4/14/20,,,15,,
Imperial,4/14/20,36,,,,
Inyo,4/14/20,,,,,
Kern,4/14/20,,,15,15,
Kings,4/14/20,,,,,
Lake,4/14/20,,,,,
Lassen,4/14/20,,,,,
Los Angeles,4/14/20,2654,535,658,654,
Madera,4/14/20,,,,,
Marin,4/14/20,80,43,44,,
Mariposa,4/14/20,44,,,,
Mendocino,4/14/20,103,63,,,
Merced,4/14/20,,,,,
Mono,4/14/20,48,,,,
Modoc,4/14/20,,,,,
Monterey,4/14/20,,,108,,
Napa,4/14/20,,,18,,
Nevada,4/14/20,27,,,,
Orange,4/14/20,276,,78,74,
Placer,4/14/20,15,15,,,
Plumas,4/14/20,,,,,
Riverside,4/14/20,422,303,15,15,
Sacramento,4/14/20,316,63,63,63,
San Benito,4/14/20,,,,,
San Bernardino,4/14/20,,,20,,20
San Diego,4/14/20,2029,409,35,35,
San Francisco,4/14/20,1012,327,,,
San Joaquin,4/14/20,,,,,
San Luis Obispo,4/14/20,154,,14,14,
San Mateo,4/14/20,94,94,,,
Santa Barbara,4/14/20,,,,,
Santa Clara,4/14/20,453,170,105,105,
Santa Cruz,4/14/20,27,17,35,,
Shasta,4/14/20,,,,,
Sierra,4/14/20,,,,,
Siskiyou,4/14/20,,,,,
Solano,4/14/20,,,,,
Sonoma,4/14/20,45,45,,,
Stanislaus,4/14/20,,,,,
Sutter,4/14/20,16,16,,,
Tehama,4/14/20,,,,,
Trinity,4/14/20,,,,,
Tulare,4/14/20,23,,,,
Tuolumne,4/14/20,,,,,
Ventura,4/14/20,398,275,,,
Yolo,4/14/20,146,119,,,
Yuba,4/14/20,30,18,,,
Alameda,4/15/20,403,132,91,85,
Alpine,4/15/20,,,,,
Amador,4/15/20,,,,,
Butte,4/15/20,65,65,,,
Calaveras,4/15/20,,,,,
Colusa,4/15/20,,,,,
Contra Costa,4/15/20,340,,,,
Del Norte,4/15/20,,,,,
El Dorado,4/15/20,,,,,
