Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
California,01/01/2020,2020,January,18637400,840000,0.043
California,01/01/2020,2020,January,18756400,753300,0.039
Alameda County,01/01/2020,2020,January,815500,25700,0.031
Alpine County,01/01/2020,2020,January,620,30,0.046
Amador County,01/01/2020,2020,January,14160,700,0.047
Butte County,01/01/2020,2020,January,92400,5400,0.056
Calaveras County,01/01/2020,2020,January,20630,930,0.043
Colusa County,01/01/2020,2020,January,8790,2090,0.192
Contra Costa County,01/01/2020,2020,January,541600,18000,0.032
Del Norte County,01/01/2020,2020,January,9010,630,0.065
El Dorado County,01/01/2020,2020,January,88800,3500,0.037
Fresno County,01/01/2020,2020,January,415800,36600,0.081
Glenn County,01/01/2020,2020,January,12260,970,0.073
Humboldt County,01/01/2020,2020,January,59300,2500,0.041
Imperial County,01/01/2020,2020,January,59400,13000,0.18
Inyo County,01/01/2020,2020,January,8360,340,0.039
Kern County,01/01/2020,2020,January,362200,33900,0.086
Kings County,01/01/2020,2020,January,52700,5500,0.094
Lake County,01/01/2020,2020,January,27370,1750,0.06
Lassen County,01/01/2020,2020,January,9330,560,0.056
Los Angeles County,01/01/2020,2020,January,4956900,232200,0.045
Los Angeles County,01/01/2020,2020,January,4945300,221300,0.043
Madera County,01/01/2020,2020,January,58200,5100,0.081
Marin County,01/01/2020,2020,January,136500,3400,0.024
Mariposa County,01/01/2020,2020,January,6600,440,0.063
Mendocino County,01/01/2020,2020,January,36470,1850,0.048
Merced County,01/01/2020,2020,January,103900,11300,0.098
Modoc County,01/01/2020,2020,January,2790,300,0.097
Mono County,01/01/2020,2020,January,8800,320,0.035
Monterey County,01/01/2020,2020,January,193300,20800,0.097
Napa County,01/01/2020,2020,January,70000,2500,0.035
Nevada County,01/01/2020,2020,January,47320,1800,0.037
Orange County,01/01/2020,2020,January,1575500,46600,0.029
Placer County,01/01/2020,2020,January,182200,6200,0.033
Plumas County,01/01/2020,2020,January,6710,790,0.105
Riverside County,01/01/2020,2020,January,1059300,46800,0.042
Sacramento County,01/01/2020,2020,January,686500,27700,0.039
San Benito County,01/01/2020,2020,January,29600,2000,0.062
San Bernardino County,01/01/2020,2020,January,932100,37900,0.039
San Diego County,01/01/2020,2020,January,1540000,52900,0.033
San Francisco County,01/01/2020,2020,January,573000,13500,0.023
San Joaquin County,01/01/2020,2020,January,303300,21800,0.067
San Luis Obispo County,01/01/2020,2020,January,136700,4400,0.031
San Mateo County,01/01/2020,2020,January,452600,9800,0.021
Santa Barbara County,01/01/2020,2020,January,204300,10000,0.047
Santa Clara County,01/01/2020,2020,January,1028000,27700,0.026
Santa Cruz County,01/01/2020,2020,January,131000,8600,0.061
Shasta County,01/01/2020,2020,January,70600,4000,0.054
Sierra County,01/01/2020,2020,January,1230,80,0.062
Siskiyou County,01/01/2020,2020,January,15650,1420,0.083
Solano County,01/01/2020,2020,January,200500,8400,0.04
Sonoma County,01/01/2020,2020,January,250600,7600,0.029
Stanislaus County,01/01/2020,2020,January,227300,16100,0.066
Sutter County,01/01/2020,2020,January,42400,4100,0.087
Tehama County,01/01/2020,2020,January,24080,1630,0.063
Trinity County,01/01/2020,2020,January,4130,310,0.069
Tulare County,01/01/2020,2020,January,182000,22400,0.11
Tuolumne County,01/01/2020,2020,January,20410,1050,0.049
Ventura County,01/01/2020,2020,January,406600,16400,0.039
Yolo County,01/01/2020,2020,January,103600,5400,0.049
Yuba County,01/01/2020,2020,January,28800,2200,0.07
Anaheim-Santa Ana-Irvine MD,01/01/2020,2020,January,1575500,46600,0.029
Bakersfield MSA,01/01/2020,2020,January,362200,33900,0.086
